religion,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
crc,2042,2041,2020,1986,1942,1879,1788,1686,1609,1511,1434
rreform,254,253,287,289,278,293,278,302,294,292,274
pres,335,343,317,316,296,295,295,319,332,317,325
rnondenom,463,470,493,514,515,536,489,506,561,599,610
rbaptist,242,235,213,227,224,224,228,219,241,243,238
roprot,692,686,705,738,744,685,697,684,672,689,726
cath,55,52,52,55,66,66,78,87,109,131,134
rother,3,3,2,2,2,3,7,7,10,17,16
rnone,100,106,110,97,104,111,131,157,180,235,236
